kind	address	status	name	detail
table	0079D1D8	already_present	VTable_0079D1D8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D1D8; 73 slots; vptr references materialized=0
table	0079D338	already_present	VTable_0079D338	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D338; 1 slots; vptr references materialized=0
table	0079D33C	already_present	VTable_0079D33C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D33C; 73 slots; vptr references materialized=0
table	0079D49C	already_present	VTable_0079D49C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D49C; 1 slots; vptr references materialized=0
owner_vptr	STTorpC+0x0	already_present	STTorpC	owner already points to /SubmarineTitans/Recovered/VTables/STTorpCVTable
table	0079D4AC	already_present	STTorpCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STTorpCVTable; 73 slots; vptr references materialized=0
table	0079D60C	already_present	VTable_0079D60C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D60C; 1 slots; vptr references materialized=0
owner_vptr	STVolcanoC+0x0	already_present	STVolcanoC	owner already points to /SubmarineTitans/Recovered/VTables/STVolcanoCVTable
table	0079D610	already_present	STVolcanoCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STVolcanoCVTable; 1 slots; vptr references materialized=0
owner_vptr	AiBossClassTy+0x1C	already_present	AiBossClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C
table	0079D618	already_present	AiBossClassTyVTable_at_1C	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C; 13 slots; vptr references materialized=0
owner_vptr	AiBossClassTy+0x0	already_present	AiBossClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable
table	0079D658	already_present	AiBossClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable; 1 slots; vptr references materialized=0
owner_vptr	AiEventClassTy+0x0	already_present	AiEventClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiEventClassTyVTable
table	0079D67C	already_present	AiEventClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiEventClassTyVTable; 13 slots; vptr references materialized=0
owner_vptr	AiFltClassTy+0x0	already_present	AiFltClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiFltClassTyVTable
table	0079D6BC	already_present	AiFltClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiFltClassTyVTable; 1 slots; vptr references materialized=0
owner_vptr	AiPlrClassTy+0x1C	already_present	AiPlrClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable_at_1C
table	0079D6D4	already_present	AiPlrClassTyVTable_at_1C	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable_at_1C; 13 slots; vptr references materialized=0
owner_vptr	AiPlrClassTy+0x0	already_present	AiPlrClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable
table	0079D714	already_present	AiPlrClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable; 1 slots; vptr references materialized=0
table	0079D75C	already_present	VTable_0079D75C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D75C; 3 slots; vptr references materialized=0
owner_vptr	AiTactClassTy+0x0	already_present	AiTactClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiTactClassTyVTable
table	0079D76C	already_present	AiTactClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiTactClassTyVTable; 1 slots; vptr references materialized=0
table	0079DAF0	already_present	VTable_0079DAF0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DAF0; 5 slots; vptr references materialized=0
table	0079DB04	already_present	VTable_0079DB04	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DB04; 9 slots; vptr references materialized=0
table	0079DB28	already_present	VTable_0079DB28	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DB28; 5 slots; vptr references materialized=0
table	0079DB3C	already_present	VTable_0079DB3C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DB3C; 15 slots; vptr references materialized=0
table	0079DB78	already_present	VTable_0079DB78	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DB78; 49 slots; vptr references materialized=0
table	0079DC3C	already_present	VTable_0079DC3C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DC3C; 9 slots; vptr references materialized=0
table	0079DC60	already_present	VTable_0079DC60	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DC60; 5 slots; vptr references materialized=0
table	0079DC74	already_present	VTable_0079DC74	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DC74; 18 slots; vptr references materialized=0
table	0079DCBC	already_present	VTable_0079DCBC	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DCBC; 15 slots; vptr references materialized=0
table	0079DCF8	already_present	VTable_0079DCF8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DCF8; 9 slots; vptr references materialized=0
table	0079DD1C	already_present	VTable_0079DD1C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DD1C; 6 slots; vptr references materialized=0
table	0079DD34	already_present	VTable_0079DD34	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DD34; 22 slots; vptr references materialized=0
table	0079DD9C	already_present	VTable_0079DD9C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DD9C; 5 slots; vptr references materialized=0
table	0079DDB0	already_present	VTable_0079DDB0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DDB0; 15 slots; vptr references materialized=0
table	0079DDEC	already_present	VTable_0079DDEC	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DDEC; 27 slots; vptr references materialized=0
table	0079DE58	already_present	VTable_0079DE58	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DE58; 9 slots; vptr references materialized=0
table	0079DE7C	already_present	VTable_0079DE7C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DE7C; 5 slots; vptr references materialized=0
table	0079DE90	already_present	VTable_0079DE90	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DE90; 18 slots; vptr references materialized=0
table	0079DED8	already_present	VTable_0079DED8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DED8; 15 slots; vptr references materialized=0
owner_vptr	AppClassTy+0x0	already_present	AppClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AppClassTyVTable
table	0079E16C	already_present	AppClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AppClassTyVTable; 7 slots; vptr references materialized=0
owner_vptr	SystemClassTy+0x0	skipped	SystemClassTy	manual or modified owner layout preserved
table	0079E188	already_present	SystemClassTyVTable	used existing manual type /SubmarineTitans/Recovered/SystemClassTyVTable; 9 slots; vptr references materialized=0
table	0079E1AC	already_present	VTable_0079E1AC	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079E1AC; 1 slots; vptr references materialized=0
table	0079E1B0	already_present	VTable_0079E1B0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079E1B0; 1 slots; vptr references materialized=0
owner_vptr	SystemWithNamedObjClassTy+0x0	already_present	SystemWithNamedObjClassTy	owner already points to /SubmarineTitans/Recovered/VTables/SystemWithNamedObjClassTyVTable
table	0079E1B4	already_present	SystemWithNamedObjClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/SystemWithNamedObjClassTyVTable; 9 slots; vptr references materialized=0
owner_vptr	SpriteClassTy+0x0	already_present	SpriteClassTy	owner already points to /SubmarineTitans/Recovered/VTables/SpriteClassTyVTable
table	0079E21C	already_present	SpriteClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/SpriteClassTyVTable; 3 slots; vptr references materialized=0
table	0079E284	already_present	VTable_0079E284	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079E284; 1 slots; vptr references materialized=0
owner_vptr	ButtonClassTy+0x0	already_present	ButtonClassTy	owner already points to /SubmarineTitans/Recovered/VTables/ButtonClassTyVTable
table	0079E288	already_present	ButtonClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/ButtonClassTyVTable; 3 slots; vptr references materialized=0
owner_vptr	RadioClassTy+0x0	already_present	RadioClassTy	owner already points to /SubmarineTitans/Recovered/VTables/RadioClassTyVTable
table	0079E294	already_present	RadioClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/RadioClassTyVTable; 1 slots; vptr references materialized=0
owner_vptr	ViewerClassTy+0x0	already_present	ViewerClassTy	owner already points to /SubmarineTitans/Recovered/VTables/ViewerClassTyVTable
table	0079E298	already_present	ViewerClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/ViewerClassTyVTable; 3 slots; vptr references materialized=0
owner_vptr	ListClassTy+0x0	already_present	ListClassTy	owner already points to /SubmarineTitans/Recovered/VTables/ListClassTyVTable
table	0079E2A4	already_present	ListClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/ListClassTyVTable; 4 slots; vptr references materialized=0
owner_vptr	EditorClassTy+0x0	already_present	EditorClassTy	owner already points to /SubmarineTitans/Recovered/VTables/EditorClassTyVTable
table	0079E2B4	already_present	EditorClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/EditorClassTyVTable; 3 slots; vptr references materialized=0
table	0079E2C0	already_present	VTable_0079E2C0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079E2C0; 2 slots; vptr references materialized=0
owner_vptr	SliderClassTy+0x0	already_present	SliderClassTy	owner already points to /SubmarineTitans/Recovered/VTables/SliderClassTyVTable
table	0079E2C8	already_present	SliderClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/SliderClassTyVTable; 1 slots; vptr references materialized=0
owner_vptr	TrackbarClassTy+0x0	already_present	TrackbarClassTy	owner already points to /SubmarineTitans/Recovered/VTables/TrackbarClassTyVTable
table	0079E2CC	already_present	TrackbarClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/TrackbarClassTyVTable; 3 slots; vptr references materialized=0
table	0079E360	already_present	VTable_0079E360	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079E360; 2 slots; vptr references materialized=0
table	007A1108	already_present	VTable_007A1108	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1108; 8 slots; vptr references materialized=0
table	007A1128	already_present	VTable_007A1128	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1128; 8 slots; vptr references materialized=0
table	007A1148	already_present	VTable_007A1148	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1148; 22 slots; vptr references materialized=0
table	007A11A0	already_present	VTable_007A11A0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A11A0; 9 slots; vptr references materialized=0
table	007A11C8	already_present	VTable_007A11C8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A11C8; 6 slots; vptr references materialized=0
table	007A1378	already_present	VTable_007A1378	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1378; 5 slots; vptr references materialized=0
table	007A1390	already_present	VTable_007A1390	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1390; 15 slots; vptr references materialized=0
table	007A13D0	already_present	VTable_007A13D0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A13D0; 45 slots; vptr references materialized=0
table	007A1488	already_present	VTable_007A1488	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1488; 9 slots; vptr references materialized=0
table	007A14B0	already_present	VTable_007A14B0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A14B0; 5 slots; vptr references materialized=0
table	007A14C8	already_present	VTable_007A14C8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A14C8; 18 slots; vptr references materialized=0
table	007A1510	already_present	VTable_007A1510	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1510; 15 slots; vptr references materialized=0
table	007A1550	already_present	VTable_007A1550	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1550; 5 slots; vptr references materialized=0
table	007A1568	already_present	VTable_007A1568	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1568; 9 slots; vptr references materialized=0
table	007A1590	already_present	VTable_007A1590	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1590; 5 slots; vptr references materialized=0
table	007A15A8	already_present	VTable_007A15A8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A15A8; 15 slots; vptr references materialized=0
table	007A15E8	already_present	VTable_007A15E8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A15E8; 49 slots; vptr references materialized=0
table	007A1740	already_present	VTable_007A1740	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1740; 9 slots; vptr references materialized=0
table	007A1768	already_present	VTable_007A1768	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1768; 5 slots; vptr references materialized=0
table	007A1780	already_present	VTable_007A1780	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1780; 18 slots; vptr references materialized=0
table	007A17C8	already_present	VTable_007A17C8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A17C8; 15 slots; vptr references materialized=0
table	007A1808	already_present	VTable_007A1808	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1808; 5 slots; vptr references materialized=0
table	007A1820	already_present	VTable_007A1820	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1820; 18 slots; vptr references materialized=0
table	007A1868	already_present	VTable_007A1868	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1868; 23 slots; vptr references materialized=0
table	007A18C8	already_present	VTable_007A18C8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A18C8; 9 slots; vptr references materialized=0
table	007A18F0	already_present	VTable_007A18F0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A18F0; 5 slots; vptr references materialized=0
table	007A1908	already_present	VTable_007A1908	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1908; 18 slots; vptr references materialized=0
table	007A1950	already_present	VTable_007A1950	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1950; 15 slots; vptr references materialized=0
table	007A1990	already_present	VTable_007A1990	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1990; 5 slots; vptr references materialized=0
table	007A19A8	already_present	VTable_007A19A8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A19A8; 18 slots; vptr references materialized=0
table	007A19F0	already_present	VTable_007A19F0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A19F0; 23 slots; vptr references materialized=0
table	007A1C08	already_present	VTable_007A1C08	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1C08; 4 slots; vptr references materialized=0
table	007A1C18	already_present	VTable_007A1C18	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1C18; 18 slots; vptr references materialized=0
table	007A1C60	already_present	VTable_007A1C60	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1C60; 21 slots; vptr references materialized=0
table	007A1CB8	already_present	VTable_007A1CB8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1CB8; 4 slots; vptr references materialized=0
table	007A1CC8	already_present	VTable_007A1CC8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1CC8; 18 slots; vptr references materialized=0
table	007A1D10	already_present	VTable_007A1D10	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1D10; 21 slots; vptr references materialized=0
table	007A1D68	already_present	VTable_007A1D68	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1D68; 7 slots; vptr references materialized=0
table	007A1D88	already_present	VTable_007A1D88	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007A1D88; 4 slots; vptr references materialized=0
